,image_url,product_name,source
,https://static.zara.net/photos///2020/I/0/1/p/1509/106/806/2/w/560/1509106806_1_1_1.jpg?ts=1596039396089,CROPPED KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/204/707/2/w/560/4736204707_1_1_1.jpg?ts=1595587929585,MULTI-POUCH PENDANT Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4319/202/303/2/w/560/4319202303_1_1_1.jpg?ts=1592552753586,PACK OF EARRINGS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7946/400/611/2/w/560/7946400611_1_1_1.jpg?ts=1596015170700,DRAPED PRINT DRESS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8585/207/015/2/w/560/8585207015_1_1_1.jpg?ts=1595414486065,PACK OF PRINTED MINI SCARVES Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1481/204/881/2/w/560/1481204881_1_1_1.jpg?ts=1594648909545,PACK OF BEADED NECKLACES Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/203/707/2/w/560/4736203707_1_1_1.jpg?ts=1595840697878,TUBULAR MINI HANDBAG Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8585/203/049/2/w/560/8585203049_1_1_1.jpg?ts=1594204758775,FOULARD PRINT SCARF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8585/201/983/2/w/560/8585201983_6_1_1.jpg?ts=1594237726348,PRINTED SCARF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/203/707/2/w/560/4736203707_1_1_1.jpg?ts=1595840697878,TUBULAR MINI HANDBAG Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/2749/201/800/2/w/560/2749201800_2_10_1.jpg?ts=1596032899524,LIMITED EDITION LEATHER MINI BAG TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/2749/201/800/2/w/560/2749201800_2_10_1.jpg?ts=1596032899524,LIMITED EDITION LEATHER MINI BAG TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5644/713/620/2/w/560/5644713620_6_1_1.jpg?ts=1596025163051,COMBINATION DRESS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/0594/201/400/2/w/560/0594201400_1_1_1.jpg?ts=1595414493243,FOULARD PRINT SCARF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/1165/631/707/2/w/560/1165631707_6_1_1.jpg?ts=1595932119978,JUMPSUIT WITH BELT Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3323/201/707/2/w/560/3323201707_2_11_1.jpg?ts=1596032995657,LIMITED EDITION LEATHER BOTTLE CARRIER Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4548/202/303/2/w/560/4548202303_1_1_1.jpg?ts=1594648729264,COMBINATION HOOP EARRINGS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5580/209/015/2/w/560/5580209015_1_1_1.jpg?ts=1595840703646,PACK OF KNOTTED HEADBANDS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3323/204/658/2/w/560/3323204658_1_1_1.jpg?ts=1596016550014,LIMITED EDITION LEATHER MINI BAG Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5580/209/015/2/w/560/5580209015_1_1_1.jpg?ts=1595840703646,PACK OF KNOTTED HEADBANDS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/0085/037/800/2/w/560/0085037800_6_1_1.jpg?ts=1595860199033,RIBBED DRESS Details,zara
