,URL,source
172,https://www.zara.com/us/en/t-shirt-with-woman-print-trf-p01165654.html,zara
173,https://www.zara.com/us/en/midi-dress-with-bow-p08138496.html,zara
174,https://www.zara.com/us/en/semi-sheer-peter-pan--disney-dress-p05644452.html,zara
175,https://www.zara.com/us/en/semi-sheer-peter-pan--disney-blouse-p05644453.html,zara
176,https://www.zara.com/us/en/halter-neck-bodysuit-p05580644.html,zara
177,https://www.zara.com/us/en/cropped-top-p01067627.html,zara
178,https://www.zara.com/us/en/shoulder-pad-shirt-p00858019.html,zara
179,https://www.zara.com/us/en/shoulder-pad-shirt-p00858019.html,zara
180,https://www.zara.com/us/en/lingerie-style-bodysuit-p02878459.html,zara
181,https://www.zara.com/us/en/lace-trim-stretch-bodysuit-trf-p05584428.html,zara
182,https://www.zara.com/us/en/pockets-t-shirt-p00858462.html,zara
183,https://www.zara.com/us/en/slim-fit-t-shirt-p00085044.html,zara
184,https://www.zara.com/us/en/crop-top-p00264063.html,zara
185,https://www.zara.com/us/en/crop-top-p00264063.html,zara
186,https://www.zara.com/us/en/texture-t-shirt-p00085031.html,zara
187,https://www.zara.com/us/en/slim-fit-t-shirt-p00085044.html,zara
188,https://www.zara.com/us/en/slim-fit-t-shirt-p00085044.html,zara
189,https://www.zara.com/us/en/peter-pan--disney-t-shirt-p04644434.html,zara
190,https://www.zara.com/us/en/dumbo--disney-t-shirt-p01443191.html,zara
191,https://www.zara.com/us/en/--disney-the-lion-king-t-shirt-p01443192.html,zara
192,https://www.zara.com/us/en/balloon-sleeve-shirt-with-text-print-p05580638.html,zara
193,https://www.zara.com/us/en/adjustable-hem-top-p00858463.html,zara
194,https://www.zara.com/us/en/ruffled-top-trf-p05584431.html,zara
195,https://www.zara.com/us/en/combination-embroidered-dress-p00085635.html,zara
196,https://www.zara.com/us/en/ruffled-top-trf-p05584431.html,zara
197,https://www.zara.com/us/en/ruffled-top-trf-p05584431.html,zara
198,https://www.zara.com/us/en/-pT1654651001.html,zara
199,https://www.zara.com/us/en/ruffled-top-p01044154.html,zara
